StationName,ObservationDate,Year,Precipitation,PrecipitationRank
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1965,2.23,48
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1965,0.53,38
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1966,2.01,78
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1966,1.45,74
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1966,1.78,61
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1966,1.14,73
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1966,1.5,36
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1966,0.58,57
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1966,0.89,15
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1967,0.52,39
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1967,0.51,40
DETROIT CITY AIRPORT MI US,00:00.0,1967,0.84,90
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1967,1.55,70
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1967,2.29,41
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1967,1.38,89
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1967,1.66,24
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1967,1.63,25
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1967,2,79
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1967,0.66,35
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1967,0.8,23
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1967,0.97,10
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1967,0.82,22
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1967,0.61,22
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1968,0.41,90
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1968,0.78,26
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1968,0.89,15
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1968,2.62,16
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1968,1.95,19
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1968,1.61,68
DETROIT CITY AIRPORT MI US,00:00.0,1968,1.17,32
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1968,1.3,99
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1969,0.72,30
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1969,0.59,52
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1969,0.61,44
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1969,2.3,33
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1969,1.36,60
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1969,1.55,70
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1969,1.14,73
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1970,0.56,33
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1970,1.75,62
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1970,1.17,63
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1970,1.44,26
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1970,1.39,29
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1970,0.57,31
